paragraph_id,label,number_of_sentences,mean_sentence_length,median_sentence_length,standard_deviation_sentence_length,coefficient_of_variation_sentence_length,minimum_sentence_length,maximum_sentence_length,mean_word_length,median_word_length,standard_deviation_word_length
pride_and_prejudice_TPride_P12,Human,6,11.333333333333334,11.5,8.806563209081938,0.7770496949189944,1,26,3.4029850746268657,3.0,1.770906686506815
pride_and_prejudice_TPride_P12,AI,6,4.0,2.0,3.6514837167011076,0.9128709291752769,1,10,5.409090909090909,4.0,2.8389993581140347
pride_and_prejudice_TPride_P13,Human,4,14.5,17.5,8.616843969807043,0.594265101366003,1,22,3.9298245614035086,4.0,1.9089783170155008
pride_and_prejudice_TPride_P13,AI,3,6.666666666666667,7.0,4.4969125210773475,0.6745368781616021,1,12,4.578947368421052,4.0,2.324147596402065
pride_and_prejudice_TPride_P14,Human,2,10.0,10.0,9.0,0.9,1,19,4.368421052631579,4.0,2.252729953582389
pride_and_prejudice_TPride_P14,AI,1,9.0,9.0,0.0,0.0,9,9,5.222222222222222,5.0,1.8121673811444545
pride_and_prejudice_TPride_P15,Human,6,18.333333333333332,15.5,15.828946760778354,0.8633970960424557,1,51,4.394495412844036,4.0,2.5666111188296643
pride_and_prejudice_TPride_P15,AI,4,7.25,6.5,5.11737237261468,0.7058444651882317,1,15,5.214285714285714,5.5,2.1440472885433763
pride_and_prejudice_TPride_P16,Human,4,10.25,11.0,6.684870978560469,0.6521825344937043,1,18,3.5,3.5,1.8303005217723127
pride_and_prejudice_TPride_P16,AI,2,7.5,7.5,6.5,0.8666666666666667,1,14,4.571428571428571,5.0,2.0946968998021687
pride_and_prejudice_TPride_P17,Human,5,11.2,10.0,8.35224520712844,0.7457361792078965,1,25,4.636363636363637,4.0,2.9931050242098785
pride_and_prejudice_TPride_P17,AI,5,3.4,4.0,1.3564659966250538,0.3989605872426629,1,5,5.866666666666666,5.0,2.9181424837652385
pride_and_prejudice_TPride_P18,Human,2,17.0,17.0,16.0,0.9411764705882353,1,33,4.757575757575758,4.0,2.6632209142690706
pride_and_prejudice_TPride_P18,AI,2,8.5,8.5,7.5,0.8823529411764706,1,16,5.0,4.5,2.449489742783178
pride_and_prejudice_TPride_P19,Human,4,13.75,15.0,10.40132203135736,0.7564597840987171,1,24,4.363636363636363,4.0,2.3997245020940245
